name,lat,lon,popnear,housenear,empnear,paynear,popwalk,housewalk,empwalk,paywalk,popdrive,housedrive,parking
'Babcock Street',42.352,-71.122,2757,1082,2089,135298,25072,9839,18999,1229988,0,0,0
'Packards Corner',42.352,-71.125,5868,2307,4177,266919,24453,9616,17405,1112165,55019,21637,0
'Harvard Ave',42.35,-71.132,2875,1187,1359,88069,20539,8480,9708,629070,0,0,0
'Griggs Street',42.349,-71.135,1936,810,658,30999,19362,8102,6581,309993,0,0,0
'Allston Street',42.349,-71.138,3440,1438,1183,56233,19113,7993,6575,312408,86012,35971,0
'Warren Street',42.348,-71.14,4169,1747,1435,68392,18954,7944,6523,310876,0,0,0
'Washington Street',42.344,-71.143,2183,896,731,34689,15598,6406,5226,247785,0,0,0
'Sutherland Road',42.341,-71.146,1187,485,394,18702,14839,6069,4927,233780,0,0,0
'Chiswick Road',42.341,-71.151,2510,1028,907,44909,12551,5142,4538,224545,0,0,0
'Chestnut Hill Ave',42.338,-71.153,1499,608,539,26786,11537,4678,4153,206048,0,0,0
'South Street',42.339,-71.157,4027,1597,1569,80653,10599,4204,4129,212245,23848,9460,0
'Boston College',42.34,-71.167,6511,2617,2941,162448,9865,3966,4456,246134,22198,8924,0
